[+] Containers:
 |- [+] Container: /Game/LightIsGone/Maps/DumpingGroundMap
 |   |- [+] ActorDescs:
 |   |   |- Guid:011E1DDC44CD63CD039D06BDBCE56922 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_A8A1595BE53EAE2402_1432304178 Label:SM_Lamp6 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=24539.742 Y=9060.312 Z=8700.000), Max=(X=24560.258 Y=9279.688 Z=9370.751) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0
 |   |   |- Guid:01F9C96A42A529F23B8BAE8301BA83A3 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_A8A1595BE53EAD2402_2034376987 Label:Street_lamp_2 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=28694.796 Y=683.178 Z=8690.826), Max=(X=28894.438 Y=736.822 Z=9119.191) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:Map Models/Illumination/StreetLamps/AltPath FolderGuid:A45FD304431D7A2617A0D29F6DE09F31
 |   |   |- Guid:04D8AE45480C9CF01CFD4CA8E99F2614 BaseClass: NativeClass:/Script/Engine.SpotLight Name:SpotLight_UAID_A8A1595BE53EAC2402_1340433793 Label:SpotLight11 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=22407.358 Y=3160.285 Z=5499.932), Max=(X=28045.514 Y=8798.441 Z=11138.088) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:5668C8C84644A9A47FBBE8B52DAD4C43 FolderPath:Map Models/Illumination/StreetLamps FolderGuid:9277C65545C83327BF81009AF03D41D5
 |   |   |- Guid:0545732F487E8FD6B16ABFBF78D4A679 BaseClass: NativeClass:/Script/Engine.SpotLight Name:SpotLight_UAID_A8A1595BE53EAB2402_1955071612 Label:SpotLight10 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=14782.566 Y=-3508.204 Z=1267.204), Max=(X=28638.974 Y=10348.204 Z=15123.611) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:BFEC5CAA417C023AE23D32AB27686BEA FolderPath:Map Models/Illumination FolderGuid:0785F1A6184277164944F6817871650D
 |   |   |- Guid:09563CBAFF4062F193F0B7B99D082B0B BaseClass: NativeClass:/Script/Engine.SpotLight Name:SpotLight_UAID_1498774D5959071E02_1370694437 Label:SpotLight2 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=33768.844 Y=-10011.156 Z=5609.088), Max=(X=39131.156 Y=-4648.844 Z=10971.399) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:991B9F8F9A41F05FFAEA36809FE9C4DB FolderPath:Map Models/Illumination/StreetLamps FolderGuid:9277C65545C83327BF81009AF03D41D5
 |   |   |- Guid:0B78131A4086F3407B375A83E72ED5B5 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_A8A1595BE53EA92402_2117439256 Label:SM_StreetLamp3 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=27114.557 Y=7955.549 Z=8710.000), Max=(X=27184.553 Y=8047.056 Z=9246.487) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:Map Models/Illumination/StreetLamps FolderGuid:9277C65545C83327BF81009AF03D41D5
 |   |   |- Guid:12ED8D09FF466FB562AE089B9862B168 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_1498774D5959031E02_1511938710 Label:SM_Car SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=37763.491 Y=-7497.041 Z=8692.090), Max=(X=38393.008 Y=-6916.413 Z=8877.094) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:Map Models/Big Models FolderGuid:3C17C1981B49ABDEFDC467882B32164A
 |   |   |- Guid:1339DCF393497B040ACB3EB66668D73F BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_1498774D5959081E02_1136373621 Label:SM_Lamp05b SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=27420.263 Y=-5871.565 Z=9516.241), Max=(X=27745.154 Y=-5781.663 Z=10181.293) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:Map Models/Illumination/StreetLamps FolderGuid:9277C65545C83327BF81009AF03D41D5
 |   |   |- Guid:177575250C4547ADCE0B2E87E99F0EC3 BaseClass: NativeClass:/Script/Engine.PointLight Name:PointLight_UAID_1498774D5959071E02_1114102428 Label:PointLight2 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=26591.626 Y=-9052.692 Z=8042.060), Max=(X=28191.626 Y=-7452.692 Z=9642.060) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:6C93562B954C04A05A290DB591E0D259 FolderPath:Map Models/Big Models FolderGuid:3C17C1981B49ABDEFDC467882B32164A
 |   |   |- Guid:18C7C38540AD7504E00B0B8622EED0EC BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_A8A1595BE53EAA2402_1177244435 Label:SM_StreetLamp4 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=20645.049 Y=-6933.606 Z=8700.000), Max=(X=20713.606 Y=-6834.782 Z=9214.350) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:Map Models/Illumination/StreetLamps/AltPath FolderGuid:A45FD304431D7A2617A0D29F6DE09F31
 |   |   |- Guid:18EE22B247A20BFA6DAD45A95E360A07 BaseClass: NativeClass:/Script/Engine.PointLight Name:PointLight_UAID_A8A1595BE53EAD2402_1340365961 Label:PointLight18 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=23480.000 Y=-1400.000 Z=7168.000), Max=(X=27480.000 Y=2600.000 Z=11168.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:909744BF46A77C6E0E22649542BD9E26 FolderPath:Map Models/Illumination/StreetLamps/AltPath FolderGuid:A45FD304431D7A2617A0D29F6DE09F31
